country,iso3,latitude,longitude
Fiji,FJI,-17.31630942638265,163.85316464458234
United Republic of Tanzania,TZA,-6.257732428506092,34.75298985475595
Western Sahara,ESH,24.291172960208623,-12.13783111160779
Canada,CAN,61.46907614534896,-98.14238137209708
United States of America,USA,45.70562800215178,-112.5994359115045
Kazakhstan,KAZ,48.19166075218232,67.2846109811001
Uzbekistan,UZB,41.748602664652246,63.20363952823182
Papua New Guinea,PNG,-6.451644514630347,145.31757462782247
Indonesia,IDN,-2.221737936520542,117.42340756227364
Argentina,ARG,-35.4468214894951,-65.17536077114173
Chile,CHL,-39.04701430994844,-71.5206439451643
Democratic Republic of the Congo,COD,-2.8502757110956667,23.582955831479083
Somalia,SOM,4.752347756504953,45.72670076723565
Kenya,KEN,0.5959662521769523,37.791555286661385
Sudan,SDN,15.990585003116717,29.862604012257922
Chad,TCD,15.328867399839682,18.581329525332894
Haiti,HTI,18.900700691843337,-72.65801330535574
Dominican Republic,DOM,18.884487087982258,-70.46235845697531
Russia,RUS,61.961663494923,96.80331818290134
The Bahamas,BHS,25.515491725336624,-77.92997080393516
Falkland Islands,FLK,-51.71322176551185,-59.42097279311021
Norway,-99,69.15685630975351,15.468119955206761
Greenland,GRL,74.77048769398986,-41.50018111492097
French Southern and Antarctic Lands,ATF,-49.306454911671985,69.5315804704237
East Timor,TLS,-8.767760362467003,125.96630027368401
South Africa,ZAF,-28.947033259979115,25.048013879861678
Lesotho,LSO,-29.625290493692013,28.170105295170494
Mexico,MEX,23.935371902244835,-102.5763495239869
Uruguay,URY,-32.780904365230825,-56.003278666548475
Brazil,BRA,-10.806773643498916,-53.05434003576711
Bolivia,BOL,-16.72898701530584,-64.64140560603113
Peru,PER,-9.191562905134553,-74.39180581684722
Colombia,COL,3.927213862709704,-73.07773208697478
Panama,PAN,8.530019388864652,-80.10916483549376
Costa Rica,CRI,9.965671127464528,-84.17542309600948
Nicaragua,NIC,12.848190428036988,-85.02031850080252
Honduras,HND,14.822947081652929,-86.58996383801542
El Salvador,SLV,13.726091625794197,-88.87290317032377
Guatemala,GTM,15.699360612026911,-90.36945836053154
Belize,BLZ,17.197089911451545,-88.70342125299318
Venezuela,VEN,7.162132267639002,-66.16382727830238
Guyana,GUY,4.790225375174759,-58.97120310856251
Suriname,SUR,4.1200080317588865,-55.91145629952073
France,-99,42.46070432663372,-2.8766966992706267
Ecuador,ECU,-1.4547717055405804,-78.38416674608374
Puerto Rico,PRI,18.2372245709719,-66.47922227695507
Jamaica,JAM,18.137636127868436,-77.32425480164892
Cuba,CUB,21.631751541025228,-78.96068490970256
Zimbabwe,ZWE,-18.906987947858802,29.788548371892524
Botswana,BWA,-22.099711378826413,23.773081465789428
Namibia,NAM,-22.099776931731068,17.156168126194093
Senegal,SEN,14.354139988452022,-14.50980278585943
Mali,MLI,17.267772061700715,-3.543294339453343
Mauritania,MRT,20.20926720635376,-10.326396925234992
Benin,BEN,9.647430780663699,2.337377553496156
Niger,NER,17.345552814745542,9.324427099857923
Nigeria,NGA,9.548318418209965,7.995127754089786
Cameroon,CMR,5.663095287992696,12.611551546501774
Togo,TGO,8.439541954669616,0.9964039436703582
Ghana,GHA,7.928651813099648,-1.2369685557063992
Ivory Coast,CIV,7.5537550070104915,-5.6120436452252225
Guinea,GIN,10.44827287727134,-11.060853741185456
Guinea-Bissau,GNB,12.022704382325685,-15.110623751667879
Liberia,LBR,6.431619862252993,-9.410836154371117
Sierra Leone,SLE,8.53035372615305,-11.795257428559948
Burkina Faso,BFA,12.311650494136712,-1.77653745205594
Central African Republic,CAF,6.5427787059213145,20.374347291243915
Republic of the Congo,COG,-0.8378010872252886,15.13446176741353
Gabon,GAB,-0.6470481398040288,11.687751174902044
Equatorial Guinea,GNQ,1.6458643199600753,10.366031325064027
Zambia,ZMB,-13.395067553524187,27.727591918760577
Malawi,MWI,-13.172834992341919,34.193605326922366
Mozambique,MOZ,-17.230448975659677,35.47261597864435
eSwatini,SWZ,-26.48985528852001,31.39525590206532
Angola,AGO,-12.245869036133188,17.47057255231345
Burundi,BDI,-3.3773910753554657,29.91389229542573
Israel,ISR,31.4849193900197,35.003851206429005
Lebanon,LBN,33.91182720781994,35.87098632001643
Madagascar,MDG,-19.356114077828778,46.69117091471639
Palestine,PSE,31.94113662241515,35.27331962289024
Gambia,GMB,13.47533435870166,-15.431872807730837
Tunisia,TUN,34.172939036882376,9.534716120695835
Algeria,DZA,28.185481278657537,2.5980477916183444
Jordan,JOR,31.245490584748417,36.77945490632519
United Arab Emirates,ARE,23.86863365334761,54.20671476159633
Qatar,QAT,25.32185097420669,51.1835025789133
Kuwait,KWT,29.307266634033564,47.600098887626416
Iraq,IRQ,33.03682096372491,43.75691096461423
Oman,OMN,20.611174374229545,56.09867281997542
Vanuatu,VUT,-15.542677057554924,167.07375126822674
Cambodia,KHM,12.684728629393506,104.87608532525192
Thailand,THA,15.01697499141648,101.00613354626108
Laos,LAO,18.444978089036088,103.75025989504465
Myanmar,MMR,21.016999873773827,96.50584094206161
Vietnam,VNM,16.657937753254938,106.28584079705195
North Korea,PRK,40.14302033650109,127.16501590888976
South Korea,KOR,36.42759860415487,127.8213171283307
Mongolia,MNG,46.82368112626357,102.94640620846634
India,IND,22.92500640740852,79.59370376325381
Bangladesh,BGD,23.83946179534406,90.26792827719598
Bhutan,BTN,27.427968649102027,90.4724248062037
Nepal,NPL,28.23944001904935,84.01317367692529
Pakistan,PAK,29.973460025547393,69.41399806318127
Afghanistan,AFG,33.85639928169076,66.08669022192831
Tajikistan,TJK,38.58308146421082,71.03443504896113
Kyrgyzstan,KGZ,41.50689371318262,74.62040481092558
Turkmenistan,TKM,39.09124018017583,59.27543026236141
Iran,IRN,32.51891731762539,54.285451496891426
Syria,SYR,35.012614281129,38.54423941961137
Armenia,ARM,40.21660761230143,45.00029001101479
Sweden,SWE,62.811484968080336,16.59626584684802
Belarus,BLR,53.50634479481114,27.98135261544803
Ukraine,UKR,49.14882260840351,31.229122070266495
Poland,POL,52.14826021933187,19.31101430844868
Austria,AUT,47.6139487927463,14.076158884337072
Hungary,HUN,47.19995117195427,19.357628627745918
Moldova,MDA,47.20367642606752,28.41048279080328
Romania,ROU,45.857101035738005,24.943252494635377
Lithuania,LTU,55.284319484766066,23.88064027584349
Latvia,LVA,56.80717513427924,24.833296149803438
Estonia,EST,58.643695426630906,25.824725613026608
Germany,DEU,51.13372269040778,10.288485092742851
Bulgaria,BGR,42.7531187620217,25.19511095327711
